codec,runs,comp_speed_mean,comp_speed_med,decomp_speed_mean,decomp_speed_med,ratio_mean,ratio_med
apultra,66,0.19735430303030305,0.1000915,121.18630872727273,116.0732075,38.484848484848484,42.0
blz,66,1.4282949242424243,1.073247,188.56549736363635,177.286812,41.96969696969697,46.0
csc,138,11.323350862318842,11.3241215,33.5559881884058,30.683809500000002,39.89855072463768,42.0
density,165,46.156801424242424,42.321839,120.25417616969696,118.184365,64.14545454545454,66.0
doboz,166,2.0707544337349395,2.0633065,300.8859585361446,270.738565,43.873493975903614,48.0
exo,22,0.0141105,0.014349,116.71143004545455,113.2854395,41.09090909090909,43.0
lz4,168,2.13001575,2.1723540000000003,308.0458904702381,314.5007395,46.523809523809526,52.0
lzav,154,3.2876601363636366,1.9071925,248.16242035064937,252.999583,51.688311688311686,55.0
lzfse,153,29.057537065359476,28.870675,148.527007248366,145.564737,43.43790849673203,47.0
lzham,155,0.3006095870967742,0.287017,70.27494002580644,66.543227,39.49677419354839,41.0
lzma,154,4.616446168831169,4.8196815,42.59161192857143,39.8441065,35.422077922077925,38.0
lzsa2,164,0.38188952439024393,0.3204435,162.91481162195123,158.1923685,40.03658536585366,44.0
nz1,154,18.90053762987013,18.4732525,262.86248504545455,259.3248575,71.01298701298701,75.0
pp,150,13.59707346,13.8403425,137.68308647333333,132.093678,48.36666666666667,50.0
qlz,166,3.503849620481928,2.579586,282.07304558433736,247.5749985,46.626506024096386,52.0
rnc,145,2.2310098896551724,2.212549,54.89423134482759,51.251703,41.62068965517241,45.0
shrinkler,48,0.04267529166666667,0.041094,32.69009054166667,29.534398,36.708333333333336,40.0
snappy,152,54.515877888157895,53.940242999999995,196.22463579605264,200.0129185,64.8092105263158,66.0
stcr,44,0.8247842727272728,0.851704,161.91955545454545,152.3375895,47.31818181818182,49.0
zstd,165,3.7635826363636364,3.688707,248.20334422424241,256.283646,41.303030303030305,41.0
zx0,33,0.0008131818181818183,0.000832,120.56541824242424,112.493402,37.484848484848484,42.0
zx7b,157,1.1004091910828024,1.044035,110.11281449681529,106.964862,44.3312101910828,47.0
